Announcement Date,Cat A (Cars up to 1600cc and 97kW),Cat B (Cars above 1600cc or 97kW)
13/3/2013,74689,58090
15/1/2003,26499,25028
15/1/2004,24001,22002
15/1/2005,19501,19502
15/1/2006,8009,9603
15/1/2007,11881,12000
15/10/2002,30758,30811
15/10/2003,28300,27989
15/10/2004,23784,23005
15/10/2005,14501,14101
15/10/2006,10510,12989
15/10/2007,12401,17589
15/11/2002,29008,28001
15/11/2003,26725,25481
15/11/2004,22001,20300
15/11/2005,14001,14897
15/11/2006,12689,14509
15/11/2007,14404,16401
15/12/2002,26993,23890
15/12/2003,24251,22295
15/12/2004,20117,18708
15/12/2005,12081,9001
15/12/2006,9605,12889
15/12/2007,14001,15802
15/2/2003,29999,30699
15/2/2004,24389,22001
15/2/2005,18159,16891
15/2/2006,10103,10489
15/2/2007,5200,6002
15/3/2003,26999,26001
15/3/2004,24940,25058
15/3/2005,18901,18001
15/3/2006,11904,13556
15/3/2007,13504,14652
15/3/2017,50789,53300
15/4/2002,36000,42101
15/4/2003,28054,27058
15/4/2004,27564,28022
15/4/2005,18101,17701
15/4/2006,11901,13101
15/4/2007,14601,15989
15/5/2002,33401,38001
15/5/2003,31095,31400
15/5/2004,27501,27990
15/5/2005,16897,16108
15/5/2006,10100,11801
15/5/2007,17010,18900
15/6/2002,30281,32499
15/6/2003,31440,31505
15/6/2004,28331,30400
15/6/2005,17289,15001
15/6/2006,9301,11001
15/6/2007,15591,18891
15/7/2002,30797,30008
15/7/2003,31501,31889
15/7/2004,27019,27001
15/7/2005,16500,16501
15/7/2006,10803,10600
15/7/2007,16000,17602
15/8/2002,31289,32001
15/8/2003,30989,29900
15/8/2004,25797,26301
15/8/2005,16101,16303
15/8/2006,12989,13890
15/8/2007,8118,16010
15/9/2002,28409,28009
15/9/2003,30629,30048
15/9/2004,24189,26101
15/9/2005,15309,14808
15/9/2006,13102,14399
15/9/2007,17941,19589
17/1/2018,36890,42661
17/1/2024,81589,112000
17/10/2012,71001,85801
17/10/2018,25556,31302
17/11/2021,55001,79601
17/12/2008,6200,2656
17/12/2014,65889,74000
17/2/2015,57199,66751
17/2/2016,43000,46970
17/2/2021,41001,46002
17/3/2021,44589,47001
17/4/2019,33199,48000
17/4/2024,94010,102001
17/5/2023,92000,113034
17/6/2009,12899,14840
17/6/2015,61000,71509
17/7/2013,73989,76389
17/7/2019,26667,39406
17/7/2024,91899,100000
17/8/2011,49301,65521
17/8/2016,53334,56500
17/8/2022,87889,112001
17/9/2008,14100,13301
17/9/2014,62000,71990
18/1/2012,48112,67889
18/1/2017,50889,52807
18/1/2023,86000,105459
18/10/2023,106000,150001
18/11/2009,17189,18002
18/11/2010,39000,47890
18/11/2015,59200,61103
18/11/2020,37690,41101
18/12/2013,74002,75700
18/12/2019,32889,36000
18/2/2009,4460,4889
18/3/2009,5116,5001
18/3/2015,64700,71889
18/3/2020,31210,30012
18/4/2012,64201,91000
18/4/2018,38510,37330
18/5/2016,47020,49156
18/6/2008,14101,14689
18/6/2014,61899,65700
18/7/2012,68656,90501
18/7/2018,32699,32551
18/8/2010,29000,42810
18/8/2021,46689,61001
18/9/2013,83751,86239
18/9/2019,31759,37000
18/9/2024,98524,110001
19/1/2011,40123,58910
19/1/2022,57898,82001
19/10/2011,56112,75889
19/10/2016,50991,56410
19/10/2017,41617,49996
19/10/2022,81089,110000
19/11/2008,2,4889
19/11/2014,67889,72890
19/12/2012,81889,93501
19/12/2018,25501,31001
19/2/2014,77201,78604
19/2/2020,32999,32889
19/3/2008,15389,19001
19/3/2014,78602,82900
19/4/2023,103721,120889
19/5/2010,27389,34600
19/5/2011,46989,56300
19/5/2021,41801,58089
19/5/2022,68001,95889
19/6/2013,69903,81751
19/6/2019,26999,35906
19/7/2017,44002,50001
19/7/2023,95202,118001
19/8/2009,15019,16290
19/8/2015,57498,62140
19/8/2020,35710,38802
19/9/2012,63000,88500
19/9/2018,28000,31307
20/1/2010,20501,22400
20/1/2016,51301,50089
20/1/2021,40609,49001
20/10/2010,32415,44600
20/10/2021,52709,80210
20/11/2013,74991,79300
20/11/2019,32000,39700
20/11/2024,89889,105081
20/12/2017,38200,47002
20/12/2023,85000,110001
20/2/2008,12856,15510
20/2/2013,78301,92667
20/2/2019,26301,35403
20/3/2019,26659,39401
20/3/2024,85489,96011
20/4/2011,44000,56801
20/4/2016,47300,49602
20/4/2022,68699,90002
20/5/2009,9889,9180
20/5/2015,66590,75002
20/6/2012,59004,85400
20/6/2018,34110,33900
20/6/2024,90889,102334
20/7/2011,56002,72501
20/7/2016,53000,57508
20/7/2022,78899,110003
20/8/2008,13289,13890
20/8/2014,65710,72990
20/9/2017,42902,49189
20/9/2023,105000,140889
21/1/2009,2693,200
21/1/2015,65001,76889
21/10/2009,18899,19510
21/10/2015,57301,59889
21/10/2020,37334,40990
21/11/2012,77291,93004
21/11/2018,25000,31101
21/12/2011,50001,70003
21/12/2016,49751,51109
21/12/2022,88007,108006
21/2/2018,36810,39000
21/2/2024,76801,97000
21/3/2012,56501,82003
21/3/2018,38000,37010
21/4/2010,30000,40001
21/4/2021,49640,61190
21/5/2014,65689,68103
21/6/2017,42801,47501
21/6/2023,96206,121000
21/7/2010,36162,42889
21/8/2013,76223,76607
21/8/2019,31917,38602
21/8/2024,93900,105889
21/9/2011,48006,64889
21/9/2016,50000,55501
21/9/2022,84000,108051
22/1/2014,72290,79000
22/1/2020,35010,37705
22/10/2008,10989,7589
22/11/2017,46791,57390
22/11/2023,85001,135336
22/12/2010,46129,72001
22/12/2021,58801,80989
22/2/2012,57009,78189
22/2/2023,86556,115001
22/3/2023,93503,116201
22/4/2009,7589,7490
22/4/2015,67601,78001
22/5/2008,15701,17113
22/5/2013,64839,67304
22/6/2011,50244,67700
22/6/2016,55200,57010
22/6/2022,74989,106001
22/7/2009,15291,18501
22/7/2015,55889,58109
22/7/2020,32699,35001
22/7/2021,47010,59501
22/9/2010,30001,42501
22/9/2021,48000,68310
23/1/2008,12001,13289
23/1/2013,91010,95501
23/1/2019,26170,33989
23/10/2013,76889,87910
23/10/2014,63990,72002
23/10/2019,32309,41805
23/10/2024,102900,113890
23/11/2011,54887,77340
23/11/2016,50951,53001
23/11/2022,90589,113881
23/12/2009,18150,17889
23/12/2015,54301,55001
23/12/2020,40556,49300
23/2/2011,42999,62000
23/2/2022,63000,93590
23/3/2011,43813,57002
23/3/2016,45504,46502
23/3/2022,71556,98889
23/4/2008,15600,17510
23/4/2014,71335,75010
23/5/2012,58001,85216
23/5/2018,38001,37989
23/5/2019,27000,42564
23/5/2024,92700,105689
23/6/2010,31510,39911
23/6/2021,47821,56032
23/7/2008,14101,14235
23/7/2014,62890,65001
23/8/2012,66889,88002
23/8/2017,42900,51000
23/8/2018,31997,32429
23/8/2023,100000,129890
23/9/2015,55399,60001
23/9/2020,38504,40989
24/2/2010,20340,23889
24/2/2017,49430,50621
24/3/2010,28389,36089
24/4/2013,62497,62000
24/5/2017,46489,53001
24/9/2009,15589,19801
26/4/2017,51600,54406
27/3/2013,64209,73900
29/3/2017,51765,54000
1/4/2002,37201,39509
1/5/2002,35000,40001
1/6/2002,33009,33001
1/7/2002,31407,31583
1/8/2002,30289,31889
1/9/2002,30501,31617
1/10/2002,31334,31795
1/11/2002,29113,27667
1/12/2002,28501,27289
1/1/2003,28489,29099
1/2/2003,31003,33657
1/3/2003,28308,27999
1/4/2003,27497,26601
1/5/2003,29299,28589
1/6/2003,31799,31501
1/7/2003,32079,32779
1/8/2003,30497,31001
1/9/2003,25011,28001
1/10/2003,28915,28199
1/11/2003,26338,26001
1/12/2003,24401,24112
1/1/2004,23801,24293
1/2/2004,24489,23508
1/3/2004,24597,25699
1/4/2004,26689,28001
1/5/2004,27507,26700
1/6/2004,28798,30300
1/7/2004,27769,28990
1/8/2004,26298,27086
1/9/2004,26801,27799
1/10/2004,23001,23001
1/11/2004,22496,21301
1/12/2004,22463,21302
1/1/2005,18400,14002
1/2/2005,18200,16533
1/3/2005,20654,21710
1/4/2005,18279,16110
1/5/2005,17398,16508
1/6/2005,17481,16002
1/7/2005,16112,15501
1/8/2005,16502,15889
1/9/2005,16461,16889
1/10/2005,11991,11002
1/11/2005,14700,14751
1/12/2005,13700,13301
1/1/2006,10602,11602
1/2/2006,10284,9501
1/3/2006,11199,12555
1/4/2006,11901,13402
1/5/2006,10003,11519
1/6/2006,11202,12200
1/7/2006,10201,10801
1/8/2006,11901,12501
1/9/2006,13003,14701
1/10/2006,12001,12501
1/11/2006,12979,13811
1/12/2006,12200,14389
1/1/2007,11704,13001
1/2/2007,11489,12152
1/3/2007,12602,13502
1/4/2007,14000,14889
1/5/2007,16159,17879
1/6/2007,16181,19802
1/7/2007,14801,17399
1/8/2007,17001,18001
1/9/2007,17999,18200
1/10/2007,16999,17102
1/11/2007,16839,18001
1/12/2007,12001,13114
3/9/2008,9501,13389
3/12/2008,7721,6501
4/6/2008,14590,14640
5/2/2008,12002,13209
5/3/2008,14351,18000
5/11/2008,10455,8301
6/8/2008,12501,12889
7/5/2008,11009,15889
8/10/2008,13801,14400
9/1/2008,14052,15989
9/4/2008,16930,19501
9/7/2008,14685,15501
3/6/2009,11690,11889
4/2/2009,1020,689
4/3/2009,4890,5101
4/11/2009,16747,18389
5/8/2009,13658,18890
6/5/2009,8489,7552
7/1/2009,5001,3089
7/10/2009,16201,18109
8/4/2009,7090,7501
8/7/2009,14310,16801
9/9/2009,18020,19289
9/12/2009,18502,19003
3/2/2010,19989,23180
3/11/2010,34001,45501
4/8/2010,32104,43334
5/5/2010,26102,38000
6/1/2010,18502,19190
6/10/2010,33132,42801
7/4/2010,34001,45501
7/7/2010,29501,35909
8/9/2010,33089,44129
8/12/2010,47604,62502
9/6/2010,30051,40002
10/3/2010,20802,26389
3/8/2011,48801,70890
5/1/2011,38889,69000
5/5/2011,44790,56011
5/10/2011,50289,63600
6/4/2011,43212,55001
6/7/2011,55989,68501
7/9/2011,51000,63002
7/12/2011,52392,72350
8/6/2011,53390,63000
9/2/2011,37124,53400
9/3/2011,42600,61894
10/11/2011,55997,77000
3/10/2012,69000,80001
4/4/2012,58501,83700
4/7/2012,59421,82289
5/1/2012,46889,65801
5/9/2012,68000,80191
5/12/2012,78523,90200
6/6/2012,59003,83000
7/3/2012,56551,79304
7/11/2012,77201,92400
8/2/2012,52809,73890
8/8/2012,73501,94502
9/5/2012,62600,92050
3/7/2013,73100,77110
4/9/2013,77304,77100
4/12/2013,73160,73010
5/6/2013,67301,75000
6/2/2013,87109,92901
6/11/2013,72609,84578
7/8/2013,75556,77600
8/5/2013,62999,61700
9/1/2013,92100,96210
9/10/2013,85000,93500
10/4/2013,61029,67010
3/9/2014,64841,73010
3/12/2014,67089,74389
4/6/2014,63190,67304
5/2/2014,71564,75300
5/3/2014,76999,80710
5/11/2014,64900,70890
6/8/2014,64600,68689
7/5/2014,60002,70002
8/1/2014,72369,78700
9/4/2014,77400,84504
9/7/2014,61990,64889
9/10/2014,63880,72180
4/2/2015,62002,70890
4/3/2015,61410,68668
4/6/2015,66000,75000
4/11/2015,56001,57501
5/8/2015,56209,60789
6/5/2015,68589,77600
7/1/2015,66010,75289
7/10/2015,56001,58190
8/4/2015,67749,76612
8/7/2015,58700,65501
9/9/2015,57089,62101
9/12/2015,56989,60001
3/2/2016,46651,38610
3/8/2016,52503,57903
5/5/2016,47889,51010
5/10/2016,51507,53001
6/1/2016,45002,54920
6/4/2016,46009,47000
7/7/2016,52301,56089
7/9/2016,51506,57002
7/12/2016,48000,46229
8/6/2016,53694,56000
9/3/2016,45000,47604
9/11/2016,52668,56206
4/10/2017,41761,48109
5/1/2017,50101,53106
5/7/2017,42801,49802
6/9/2017,36001,49000
6/12/2017,42339,53711
7/6/2017,45201,50110
8/2/2017,48401,48209
8/11/2017,47112,57414
10/8/2017,46778,53711
11/5/2017,51106,55414
12/4/2017,52000,54405
3/10/2018,28457,31301
4/1/2018,41400,45289
4/4/2018,37000,37605
4/7/2018,25000,31000
5/9/2018,30209,32001
5/12/2018,23568,31001
6/6/2018,36426,36000
7/2/2018,40000,42322
7/3/2018,38830,39001
8/8/2018,33798,34381
8/11/2018,28199,32302
9/5/2018,38941,38501
3/4/2019,29159,43102
3/7/2019,28589,34000
4/9/2019,31783,36001
4/12/2019,33009,37900
6/3/2019,26309,36961
6/6/2019,30009,39728
6/11/2019,30000,40009
7/8/2019,32725,40001
8/2/2019,25689,34509
8/5/2019,36704,48010
9/1/2019,25920,32200
9/10/2019,34001,41361
4/3/2020,32699,32801
4/11/2020,35990,39000
5/2/2020,30010,30890
5/8/2020,33000,37102
7/10/2020,36534,40690
8/1/2020,35320,37109
8/7/2020,33520,35889
9/9/2020,37766,41510
9/12/2020,40714,45012
3/2/2021,42000,46790
3/3/2021,41996,45001
3/11/2021,53709,82801
4/8/2021,45189,56001
5/5/2021,48002,60001
6/1/2021,40609,49001
6/10/2021,47001,70200
7/4/2021,45600,52309
7/7/2021,45001,56100
8/9/2021,47000,62600
8/12/2021,57010,80401
9/6/2021,48510,60109
3/8/2022,80000,107001
5/1/2022,57599,77700
5/10/2022,80501,95856
6/4/2022,72996,98389
6/5/2022,70901,92090
6/7/2022,78001,107800
7/9/2022,86000,113000
7/12/2022,88503,105501
8/6/2022,73801,100684
9/2/2022,60761,86102
9/3/2022,68501,94889
9/11/2022,87235,115388
4/5/2023,101001,119399
4/10/2023,104000,146002
5/1/2023,80000,102002
5/4/2023,96501,118501
5/7/2023,97000,118002
6/9/2023,101000,134889
6/12/2023,88020,130100
7/6/2023,98001,120702
8/2/2023,86000,105524
8/3/2023,88000,115501
8/11/2023,95689,110001
10/8/2023,99499,126889
3/4/2024,89000,101334
3/7/2024,91001,100901
4/1/2024,65010,85010
4/9/2024,96490,106300
5/6/2024,88200,100607
6/3/2024,83000,96010
6/11/2024,99889,108001
7/2/2024,79000,102338
7/8/2024,94289,106101
8/5/2024,93604,105002
9/10/2024,103799,116002
