Year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,Annual
2024,114.572,115.772,115.662,115.764,116.574,116.323,116.028,116.829,117.123,,,,116.0718889
2023,111.397,112.019,112.583,112.669,113.034,113.576,113.309,114.303,114.88,115.111,114.91,115.343,113.595
2022,104.472,105.379,106.691,106.547,107.598,108.671,108.836,109.863,110.339,109.893,110.959,111.186,108.37
2021,100.44,101.015,101.239,101.07,101.883,101.87,101.672,102.231,102.657,102.95,103.959,104.439,102.119
2020,100.204,100.279,99.933,99.012,99.48,99.5,99.178,99.807,100.139,99.711,100.105,100.469,99.818
2019,99.387,99.953,99.972,99.753,100.325,100.038,99.587,100.209,100.147,99.93,100.254,100.445,100
2018,99.035,99.501,99.299,98.833,99.449,99.505,99.359,99.778,99.753,99.447,99.61,99.686,99.438
2017,99.026,99.023,99.064,98.762,99.098,98.956,98.726,99.056,99.036,98.75,99.322,99.225,99.004
2016,98.476,98.375,98.416,98.365,97.724,98.449,98.173,98.657,98.666,98.383,98.699,98.854,98.436
2015,99.114,99.211,99.449,98.829,99.279,99.171,98.818,98.911,98.912,98.487,98.684,98.693,98.963
2014,99.506,99.484,99.749,99.342,99.676,99.508,99.213,99.742,99.553,99.255,99.441,99.328,99.483
2013,98.121,99.107,98.574,97.112,97.457,97.656,97.929,98.718,98.865,99.02,99.72,99.404,98.474
2012,94.748,94.491,95.207,95.718,95.917,95.924,96.146,96.744,97.298,97.1,97.225,97.936,96.205
2011,90.405,90.339,90.458,90.774,91.318,91.103,92.448,93.115,92.941,93.322,93.842,93.877,91.995
2010,85.682,86.048,86.115,86.901,87.402,86.567,87.676,88.081,88.129,88.525,88.818,88.954,87.408
2009,85.507,85.236,84.751,84.206,84.656,84.283,85.003,85.307,85.008,85.521,85.566,85.05,85.008
2008,82.002,82.558,82.632,83.933,84.451,84.296,85.216,85.544,85.361,86.304,86.245,85.501,84.504
2007,76.904,77.479,77.43,78.025,78.537,78.384,79.958,80.374,79.963,81.095,81.716,81.147,79.251
2006,77.355,77.509,77.252,77.673,77.556,77.069,77.651,77.694,77.627,77.93,77.93,78.161,77.617
2005,76.038,76.597,76.373,76.843,76.72,76.02,76.817,77.18,77.289,77.604,77.509,77.534,76.877
2004,75.741,76.613,76.051,76.564,76.747,76.147,76.758,76.659,76.816,76.788,76.767,76.569,76.518
2003,75.235,75.097,75.307,75.46,74.981,74.757,75.224,75.312,75.392,75.34,75.443,75.578,75.261
2002,74.584,74.804,74.734,74.814,75.047,75,75.023,74.97,74.877,74.855,75.022,75.019,74.896
2001,75.413,75.27,75.404,75.611,75.307,74.894,75.343,75.299,75.195,75.005,74.847,74.693,75.19
2000,73.942,74.294,74.039,74.146,73.878,73.999,74.378,74.769,74.787,74.844,75.009,75.135,74.435
1999,73.273,73.364,73.142,73.331,73.499,73.426,73.528,73.574,73.546,73.491,73.545,73.616,73.445
1998,73.952,73.904,73.524,73.566,73.393,73.333,73.408,73.3,73.231,73.116,73.283,73.121,73.428
1997,72.846,73.219,72.859,73.195,73.346,73.474,73.761,74.013,74.168,74.205,74.258,74.181,73.627
1996,71.464,72.05,71.735,71.813,72.156,72.228,72.23,72.331,72.364,72.384,72.558,72.692,72.167
1995,70.826,70.899,70.681,71.022,71.296,71.401,71.288,71.308,71.312,71.39,71.535,71.267,71.185
1994,69.045,69.269,68.922,69.44,69.791,70.124,70.259,70.349,70.376,70.616,70.877,70.672,69.978
1993,67.5,67.184,67.348,67.546,67.733,67.756,68.078,67.971,68.008,68.249,68.463,68.697,67.878
1992,65.808,65.719,65.603,66.015,66.357,66.365,66.65,66.532,66.577,66.743,66.931,66.986,66.357
1991,64.036,64.559,64.249,64.583,64.792,64.943,65.029,65.19,65.153,65.182,65.286,65.808,64.901
1990,61.966,62.087,61.907,62.254,62.415,62.501,62.53,62.753,63.181,63.682,63.666,63.969,62.743
1989,59.616,59.773,59.714,60.057,60.482,60.757,60.931,61.005,61.001,61.309,61.541,61.616,60.65
1988,58.729,59.181,59.028,59.046,59.234,59.169,59.512,59.49,59.544,59.413,59.494,59.641,59.29
1987,58.3,57.936,57.929,58.134,58.29,58.325,58.564,58.637,58.603,58.586,58.688,58.814,58.4
1986,58.712,58.556,58.387,58.092,58.048,57.962,57.87,57.846,58.082,58.066,57.886,57.93,58.12
1985,58.6,58.891,59.044,58.931,58.919,59.068,59.263,59.331,58.863,58.851,58.701,58.739,58.933
1984,58.395,59.166,58.581,58.586,58.541,58.702,58.867,59.007,58.612,58.583,58.364,58.338,58.645
1983,56.976,57.091,57.031,56.955,57.154,56.789,57.002,57.042,57.25,57.128,57.653,57.811,57.157
1982,57.247,56.808,56.203,56.223,56.258,56.407,56.257,56.49,56.584,56.43,56.778,57.157,56.57
1981,51.527,52.143,52.262,53.318,54.003,54.366,55.182,55.912,55.811,55.831,56.203,56.689,54.437
1980,48.52,49.283,49.809,50.024,49.996,50.13,50.566,50.951,50.825,50.995,51.329,51.375,50.317
1979,45.193,45.053,44.909,45.112,45.44,45.56,46.126,46.945,47.685,47.696,48.106,48.466,46.358
1978,44.054,44.354,43.764,44.025,44.176,44.279,44.81,45.02,45.095,44.932,45.198,45.163,44.573
1977,42.209,42.491,42.205,41.852,42.186,42.338,42.768,43.41,43.692,43.073,43.434,44.318,42.831
1976,42.288,42.28,41.74,41.336,41.502,41.288,41.259,41.204,41.128,41.087,41.33,41.657,41.508
1975,42.893,42.978,42.158,41.87,42.035,42.156,42.268,42.444,42.457,42.041,42.126,42.302,42.311
1974,39.274,40.427,41.132,40.674,40.702,40.858,41.177,41.456,41.898,42.287,42.382,42.702,41.247
1973,29.496,30.515,30.634,30.833,32.203,33.282,34.865,35.261,35.268,36.469,38.039,37.635,33.708
1972,27.979,27.97,27.916,27.594,27.703,27.8,27.968,28.215,28.415,28.372,28.648,29.583,28.18
1971,28.068,27.573,27.444,27.116,27.405,27.482,27.624,27.49,27.701,27.536,27.691,27.942,27.589
1970,27.104,27.224,26.889,26.931,26.949,26.914,27.181,27.159,27.114,27.142,27.08,27.263,27.079
1969,26.843,26.793,26.936,26.839,27.1,26.962,26.884,27.01,27.04,26.847,27.118,27.496,26.989
1968,27.588,27.281,27.183,27.12,26.832,26.832,26.969,27.179,27.019,26.972,26.902,26.817,27.058
1967,26.704,26.72,26.583,26.171,26.406,26.711,27.08,26.967,27.175,27.076,27.329,27.569,26.874
1966,26.251,26.01,25.803,25.901,25.849,25.923,26.018,26.199,26.042,25.886,26.145,26.306,26.028
1965,25.742,25.661,25.491,25.122,25.32,25.412,25.256,25.411,25.494,25.564,25.747,25.937,25.513
1964,25.541,25.637,25.545,25.209,25.213,25.137,25.257,25.674,25.606,25.444,25.429,25.68,25.448
1963,25.17,25.354,24.879,24.63,24.756,24.832,24.764,24.825,24.934,25.525,25.34,25.386,25.033
1962,24.642,24.78,24.425,24.303,24.327,24.442,24.499,24.424,24.523,24.469,24.627,24.696,24.513
1961,24.542,24.565,24.585,24.187,24.053,24.223,24.276,24.517,24.393,24.463,24.521,24.487,24.401
